MitgliedID,Geburtstag,Geschlecht,Eintrittsdatum,B-Boot-Erlaubnis,B_Boot_Lizenz
173,1997-01-08,w,2021-11-01,Ja,TRUE
366,1985-05-08,w,2014-10-30,Ja,TRUE
528,,,,,
383,2006-07-20,m,2019-11-01,Nein,FALSE
693,2003-06-12,m,2018-11-01,Ja,TRUE
547,2004-08-10,m,2018-11-01,Ja,TRUE
512,1984-01-15,m,2017-10-31,Ja,TRUE
48,1980-09-16,w,2022-11-01,Nein,FALSE
212,1984-03-17,w,2022-11-01,Nein,FALSE
419,1965-04-03,m,2022-11-01,Nein,FALSE
712,1979-06-15,w,2022-11-01,Nein,FALSE
203,1956-06-17,w,2000-11-27,Ja,TRUE
206,1979-01-08,w,2018-11-01,Ja,TRUE
166,1957-05-05,w,2000-01-17,Ja,TRUE
248,1970-11-30,w,2019-11-01,Ja,TRUE
467,1963-03-22,m,2018-11-01,Ja,TRUE
469,1963-05-28,m,2020-11-01,Ja,TRUE
132,1982-01-22,w,2012-07-01,Ja,TRUE
390,2001-04-25,w,2018-11-01,Ja,TRUE
644,1955-01-28,m,2002-11-13,Ja,TRUE
7,1969-07-06,m,2018-11-01,Ja,TRUE
735,1969-11-26,m,2014-08-14,Nein,FALSE
649,1965-01-13,m,2022-11-01,Nein,FALSE
514,1996-03-19,w,2022-11-01,Nein,FALSE
186,1996-07-04,w,2022-11-01,Nein,FALSE
124,1962-09-28,m,2019-11-01,Ja,TRUE
82,1951-12-17,m,2011-11-10,Ja,TRUE
700,1977-04-18,w,2010-11-30,Ja,TRUE
150,1987-05-08,m,2001-11-01,Ja,TRUE
654,1958-11-29,m,2006-11-01,Ja,TRUE
572,2002-06-14,w,2022-11-01,Ja,TRUE
389,2003-03-30,m,2014-10-30,Ja,TRUE
83,1993-03-16,m,2014-10-11,Ja,TRUE
231,2004-10-05,m,2016-11-01,Ja,TRUE
357,2003-10-31,m,2015-09-24,Ja,TRUE
50,1981-05-01,w,2020-11-01,Ja,TRUE
242,1974-02-28,w,2021-11-01,Ja,TRUE
774,1968-12-20,m,1998-10-30,Ja,TRUE
310,1979-02-10,m,2012-10-13,Ja,TRUE
378,2002-11-21,w,2016-10-24,Ja,TRUE
457,1971-04-06,m,2005-03-07,Ja,TRUE
716,1986-12-25,m,1999-09-27,Ja,TRUE
722,1967-12-13,m,2013-10-27,Ja,TRUE
589,1971-07-13,m,2012-11-01,Ja,TRUE
35,1986-07-22,m,2019-11-01,Ja,TRUE
333,1976-07-07,m,2015-07-27,Ja,TRUE
753,1966-02-21,m,2015-10-11,Ja,TRUE
500,1954-07-06,m,2021-11-01,Ja,TRUE
218,1940-05-18,m,1977-01-01,Ja,TRUE
728,,,,,
52,1959-09-13,w,2022-11-01,Nein,FALSE
501,1963-12-03,m,2018-11-01,Nein,FALSE
733,1960-06-22,w,2013-11-01,Nein,FALSE
120,1976-11-18,w,2009-11-01,Ja,TRUE
764,1977-07-14,m,2010-11-30,Ja,TRUE
163,1971-02-28,w,2009-11-01,Ja,TRUE
614,2005-01-15,m,2020-11-01,Ja,TRUE
179,2006-05-25,m,2022-11-01,Nein,FALSE
532,1973-03-04,w,2018-11-01,Nein,FALSE
344,1972-06-15,w,2017-11-01,Ja,TRUE
18,2007-10-04,w,2019-11-01,Nein,FALSE
314,2003-05-13,m,2017-11-01,Ja,TRUE
739,,,,,
381,2004-11-23,m,2014-09-13,Ja,TRUE
678,1991-01-10,m,2019-11-01,Ja,TRUE
19,2007-09-12,w,2019-11-01,Nein,FALSE
385,2007-04-28,w,2019-11-01,Nein,FALSE
758,2009-06-05,m,2019-11-01,Nein,FALSE
279,2010-09-08,m,2022-11-01,Nein,FALSE
400,2010-06-20,w,2022-11-01,Nein,FALSE
568,2010-03-01,w,2022-11-01,Nein,FALSE
560,2008-09-19,m,2021-11-01,Nein,FALSE
307,1999-06-20,m,2022-11-01,Ja,TRUE
288,1996-09-09,w,2018-11-01,Ja,TRUE
538,1979-05-24,w,2004-11-01,Ja,TRUE
73,1987-08-21,w,2020-11-01,Ja,TRUE
236,1983-06-24,w,2013-11-01,Ja,TRUE
321,1988-10-14,w,2015-10-24,Ja,TRUE
531,1984-05-19,w,2015-10-24,Ja,TRUE
627,1982-07-22,w,2020-11-01,Nein,FALSE
490,1995-04-04,w,2022-11-01,Ja,TRUE
631,1978-09-15,w,2001-11-14,Ja,TRUE
65,2006-05-14,w,2019-11-01,Nein,FALSE
101,2005-03-08,w,2021-05-01,Ja,TRUE
113,1974-02-25,m,1986-01-01,Ja,TRUE
710,1977-07-11,w,2017-11-01,Ja,TRUE
30,1974-06-15,w,2019-11-01,Ja,TRUE
448,1974-03-03,w,2017-11-01,Ja,TRUE
78,1966-08-08,w,1987-01-01,Ja,TRUE
353,1988-03-23,w,2022-11-01,Nein,FALSE
369,,,,,
612,,,,,
430,,,,,
462,,,,,
171,1952-02-18,m,2005-11-17,Ja,TRUE
666,1944-10-07,m,2012-11-01,Ja,TRUE
414,1963-04-28,w,2007-12-07,Ja,TRUE
449,1952-08-18,w,1999-11-03,Ja,TRUE
348,1948-05-18,w,1994-01-01,Ja,TRUE
235,1975-11-13,m,2013-11-01,Ja,TRUE
27,1992-11-25,w,2022-11-01,Nein,FALSE
583,1985-08-05,m,2013-11-01,Nein,FALSE
586,1990-07-03,m,2013-11-01,Nein,FALSE
674,1964-07-26,w,2016-10-24,Ja,TRUE
283,1982-11-13,w,2015-10-24,Ja,TRUE
37,1967-10-14,m,2014-10-30,Ja,TRUE
220,1962-01-09,m,1987-01-01,Ja,TRUE
250,1973-02-25,m,2011-11-10,Ja,TRUE
364,2005-05-06,w,2022-11-01,Nein,FALSE
264,2008-03-14,,2022-11-01,Nein,FALSE
67,2008-10-14,w,2020-11-01,Nein,FALSE
744,1959-01-11,w,2009-11-01,Nein,FALSE
584,1970-04-10,w,2022-11-01,Nein,FALSE
719,1977-08-16,m,2022-11-01,Nein,FALSE
17,1965-01-10,m,2005-10-31,Ja,TRUE
486,1975-08-26,m,2021-11-01,Nein,FALSE
689,1988-10-26,m,2021-11-01,Nein,FALSE
460,1971-10-25,m,2019-11-01,Ja,TRUE
554,1969-02-04,m,2000-11-27,Ja,TRUE
80,1977-01-16,m,2019-11-01,Ja,TRUE
591,1990-02-14,m,2016-10-24,Ja,TRUE
751,1983-08-31,m,2022-11-01,Ja,TRUE
669,1967-08-16,w,2019-11-01,Nein,FALSE
542,1971-02-09,w,2022-11-01,Ja,TRUE
623,1996-08-07,m,2010-11-30,Ja,TRUE
787,2004-08-24,m,2018-11-01,Ja,TRUE
416,2007-06-08,w,2022-11-01,Nein,FALSE
513,1956-08-02,m,2007-05-22,Ja,TRUE
493,1985-07-18,m,2021-11-01,Ja,TRUE
195,1961-02-24,m,2021-11-01,Nein,FALSE
9,1982-01-14,m,2022-11-01,Ja,TRUE
53,1985-01-05,w,2009-11-01,Nein,FALSE
464,1985-11-10,w,2022-11-01,Nein,FALSE
337,1972-09-19,m,1999-01-21,Ja,TRUE
755,2005-10-17,m,2022-11-01,Nein,FALSE
549,1989-04-11,w,2016-10-24,Nein,FALSE
544,2007-03-03,m,2019-11-01,Nein,FALSE
420,1992-05-19,m,2022-11-01,Nein,FALSE
216,2004-06-27,m,2015-09-24,Ja,TRUE
49,1972-09-04,w,2022-11-01,Nein,FALSE
592,1995-09-01,m,2022-11-01,Nein,FALSE
727,1983-04-06,w,2007-12-07,Ja,TRUE
537,1996-02-07,w,2020-11-01,Ja,TRUE
535,1994-06-16,w,2022-11-01,Nein,FALSE
270,1950-11-20,m,1964-01-01,Ja,TRUE
